품종,크기(체중에따른),크기(라벨링),나이,산책시간(시간),체중,적정음수량,성별,중성화여부,색상
라브라도리트리버,대,2,2,1.5,29,1885,F,U,크림색
라브라도리트리버,대,2,2,1.5,30,1950,F,U,흰/갈
라브라도리트리버,대,2,2,1.5,30,1950,M,N,갈/흰/노
라브라도리트리버,대,2,2,1.5,30,1950,M,Y,검정
라브라도리트리버,대,2,2,1.5,33,2145,M,N,검정
라브라도리트리버,대,2,2,1.5,42,2730,F,U,크림색
라브라도리트리버,중,1,2,1.5,18,1170,M,N,흑
라브라도리트리버,대,2,1,1.5,20,1300,F,U,크림색
라브라도리트리버,대,2,1,1.5,20,1300,M,Y,검정색
라브라도리트리버,대,2,1,1.5,25,1625,F,U,흑색
라브라도리트리버,대,2,1,1.5,25,1625,F,U,백갈
라브라도리트리버,대,2,1,1.5,25,1625,M,N,검은색
라브라도리트리버,중,1,1,1.5,14,910,M,N,베이지
라브라도리트리버,대,2,1,1.5,35,2275,M,N,흰색
라브라도리트리버,대,2,1,1.5,40,2600,M,N,크림색
라브라도리트리버,중,1,1,1.5,19,1235,F,N,연갈
라브라도리트리버,대,2,0,0.8,20,1300,F,U,검정
라브라도리트리버,소,0,0,0.8,0.8,52,M,N,갈색
라브라도리트리버,소,0,0,0.8,0.9,58.5,F,N,갈색
라브라도리트리버,소,0,0,0.8,0.9,58.5,F,N,갈색
라브라도리트리버,소,0,0,0.8,0.9,58.5,M,N,갈색
라브라도리트리버,소,0,0,0.8,0.9,58.5,M,N,갈색
라브라도리트리버,소,0,0,0.8,2,130,F,N,흰갈색
라브라도리트리버,중,1,0,0.8,12,780,M,N,갈
라브라도리트리버,중,1,0,0.8,13,845,M,N,갈
라브라도리트리버,대,2,0,0.8,34,2210,M,U,검정
라브라도리트리버,소,0,0,0.8,5,325,F,N,연노랑
라브라도리트리버,소,0,0,0.8,6,390,F,N,백
라브라도리트리버,소,0,0,0.8,7,455,M,N,백갈
라사 압소,소,0,8,0.5,8.6,559,F,U,검백
라사 압소,소,0,6,1,5.4,351,F,U,흑백
라이카,대,2,2,1,30,1950,M,N,백흑
라이카,중,1,2,1,17.2,1118,F,N,연갈색
라이카,중,1,1,1,16.7,1085.5,F,N,흰색
라이카,중,1,1,1,17,1105,F,N,갈색
라이카,중,1,1,1,17.2,1118,F,N,황갈색
라이카,소,0,0,0.8,5,325,M,N,"검정,흰색"
라이카,소,0,0,0.8,5,325,F,N,검정
라이카,소,0,0,0.8,5,325,F,N,"검정,갈색"
라이카,소,0,0,0.8,5,325,M,N,"검정,갈색"
라이카,소,0,0,0.8,5,325,F,N,"검정,흰색"
로트와일러,중,1,6,1,15,975,F,U,흑갈
로트와일러,대,2,3,1,25,1625,M,N,검정/갈색
로트와일러,대,2,3,1,25,1625,M,N,흑갈
로트와일러,대,2,3,1,27,1755,M,N,흑갈
로트와일러,중,1,0,0.8,15,975,F,U,흑갈
마리노이즈,중,1,2,1,15,975,F,N,검갈색
마리노이즈,대,2,1,1,25,1625,M,N,갈흑백
말라뮤트,대,2,5,1,25,1625,M,N,검정/흰색
말라뮤트,대,2,5,1,33,2145,M,Y,회색
말라뮤트,대,2,4,1,30,1950,M,N,갈백
말라뮤트,대,2,4,1,38,2470,M,U,갈색
말라뮤트,대,2,3,1,20,1300,M,N,검정.흰색
말라뮤트,대,2,3,1,26,1690,F,U,흰검정색
말라뮤트,대,2,3,1,27,1755,F,U,흰검정색
말라뮤트,대,2,3,1,28,1820,F,U,검/갈/흰
말라뮤트,대,2,3,1,34,2210,F,U,"검정,흰색"
말라뮤트,대,2,2,1,35,2275,F,U,갈/검/흰
말라뮤트,대,2,2,1,38,2470,M,U,"흰색,검정"
말라뮤트,중,1,0,0.8,15,975,M,N,갈/흰
말티즈,소,0,18,0.5,1.5,97.5,M,N,백색
말티즈,소,0,17,0.5,1.4,91,F,U,흰색
말티즈,소,0,17,0.5,4.3,279.5,M,Y,흰색
말티즈,소,0,15,0.5,2,130,F,U,백
말티즈,소,0,15,0.5,2.6,169,F,N,흰색
말티즈,소,0,15,0.5,3,195,F,U,백색
말티즈,소,0,15,0.5,4.1,266.5,M,Y,백색
말티즈,소,0,14,0.5,3,195,F,U,백
말티즈,소,0,14,0.5,3.5,227.5,M,Y,흰색
말티즈,소,0,13,0.5,2.3,149.5,F,N,흰색
말티즈,소,0,13,0.5,2.5,162.5,M,N,백색
말티즈,소,0,13,0.5,2.6,169,F,N,흰색
말티즈,소,0,13,0.5,3,195,M,Y,흰색
말티즈,소,0,13,0.5,3.6,234,M,N,흰색
말티즈,소,0,12,0.5,1.5,97.5,F,U,흰색
말티즈,소,0,12,0.5,2,130,F,N,흰색
말티즈,소,0,12,0.5,2,130,M,N,흰색
말티즈,소,0,12,0.5,2.1,136.5,F,N,흰색
말티즈,소,0,12,0.5,2.4,156,F,N,흰색
말티즈,소,0,12,0.5,2.5,162.5,M,Y,흰색
말티즈,소,0,12,0.5,2.6,169,F,U,백색
말티즈,소,0,12,0.5,2.7,175.5,M,Y,흰색
말티즈,소,0,12,0.5,3,195,M,Y,백
말티즈,소,0,12,0.5,3.1,201.5,M,N,백색
말티즈,소,0,12,0.5,3.6,234,M,U,흰색
말티즈,소,0,12,0.5,3.6,234,M,Y,백색
말티즈,소,0,12,0.5,3.8,247,M,N,흰색
말티즈,소,0,12,0.5,5,325,F,Y,백
말티즈,소,0,11,0.5,2.9,188.5,F,U,흰색
말티즈,소,0,10,0.5,1.8,117,F,U,흰
말티즈,소,0,10,0.5,1.94,126.1,F,U,흰색
말티즈,소,0,10,0.5,2,130,F,U,흰색
말티즈,소,0,10,0.5,2,130,F,U,갈
말티즈,소,0,10,0.5,2.4,156,F,Y,흰색
말티즈,소,0,10,0.5,2.5,162.5,M,Y,흰색
말티즈,소,0,10,0.5,2.5,162.5,M,Y,흰색
말티즈,소,0,10,0.5,2.7,175.5,M,Y,백
말티즈,소,0,10,0.5,3,195,Q,U,흰색
말티즈,소,0,10,0.5,3,195,M,N,흰색
말티즈,소,0,10,0.5,3,195,F,N,흰색
말티즈,소,0,10,0.5,3,195,M,Y,흰색
말티즈,소,0,10,0.5,3.2,208,M,N,흰
말티즈,소,0,10,0.5,3.5,227.5,F,U,백
말티즈,소,0,10,0.5,3.5,227.5,M,Y,백색
말티즈,소,0,10,0.5,3.7,240.5,F,Y,하양
말티즈,소,0,10,0.5,3.7,240.5,F,U,흰
말티즈,소,0,10,0.5,3.8,247,F,N,흰색
말티즈,소,0,10,0.5,4,260,M,Y,흰색
말티즈,소,0,10,0.5,4,260,M,Y,백
말티즈,소,0,10,0.5,4.4,286,M,N,흰
말티즈,소,0,10,0.5,5,325,M,Y,흰색
말티즈,소,0,10,0.5,5,325,M,N,백
말티즈,소,0,10,0.5,5,325,M,U,화이트
말티즈,소,0,10,0.5,9,585,M,Y,백색
말티즈,소,0,9,0.5,2.4,156,F,Y,흰색
말티즈,소,0,9,0.5,3,195,F,U,흰색
말티즈,소,0,9,0.5,3,195,F,U,백
말티즈,소,0,9,0.5,3,195,M,Y,백
말티즈,소,0,9,0.5,3.1,201.5,F,U,흰
말티즈,소,0,9,0.5,3.2,208,F,U,백색
말티즈,소,0,9,0.5,3.3,214.5,M,Y,흰색
말티즈,소,0,9,0.5,3.6,234,M,Y,흰색
말티즈,소,0,9,0.5,3.6,234,M,Y,흰색
말티즈,소,0,9,0.5,3.8,247,M,N,흰색
말티즈,소,0,9,0.5,4.6,299,M,Y,백색
말티즈,소,0,9,0.5,5,325,M,Y,백색
말티즈,소,0,9,0.5,5,325,M,N,흰색
말티즈,소,0,9,0.5,5.5,357.5,M,N,백색
말티즈,소,0,9,0.5,6.5,422.5,M,Y,백
말티즈,소,0,8,0.5,1.5,97.5,F,N,흰색
말티즈,소,0,8,0.5,1.8,117,M,Y,흰색
말티즈,소,0,8,0.5,2.5,162.5,M,Y,백색
말티즈,소,0,8,0.5,2.5,162.5,M,N,흰색
말티즈,소,0,8,0.5,2.5,162.5,F,U,흰
말티즈,소,0,8,0.5,3,195,M,Y,백
말티즈,소,0,8,0.5,3.2,208,F,U,흰
말티즈,소,0,8,0.5,3.3,214.5,M,N,흰
말티즈,소,0,8,0.5,3.4,221,F,N,흰색
말티즈,소,0,8,0.5,3.5,227.5,M,Y,흰색
말티즈,소,0,8,0.5,3.8,247,M,Y,흰
말티즈,소,0,8,0.5,3.9,253.5,F,N,흰색
말티즈,소,0,8,0.5,4,260,F,N,흰색
말티즈,소,0,8,0.5,4,260,M,Y,흰색
말티즈,소,0,8,0.5,4.2,273,M,N,흰색
말티즈,소,0,8,0.5,4.2,273,M,Y,흰
말티즈,소,0,8,0.5,4.3,279.5,M,N,흰색
말티즈,소,0,8,0.5,4.5,292.5,M,Y,흰색
말티즈,소,0,8,0.5,4.6,299,M,Y,흰색
말티즈,소,0,8,0.5,4.8,312,F,U,흰색
말티즈,소,0,8,0.5,4.8,312,F,N,흰색
말티즈,소,0,8,0.5,4.9,318.5,M,N,흰색
말티즈,소,0,8,0.5,5,325,M,Y,백
말티즈,소,0,8,0.5,6.4,416,M,N,백색
말티즈,소,0,7,0.8,1.5,97.5,M,Y,흰
말티즈,소,0,7,0.8,1.9,123.5,F,U,흰
