품종,나이,산책시간(시간),체중,성별,중성화여부,색상
말티즈,7,0.8,3.5,M,N,흰색
말티즈,7,0.8,4,M,N,백
말티즈,7,0.8,4,M,Y,백
말티즈,7,0.8,4,F,N,백
말티즈,7,0.8,4.3,F,U,흰색
말티즈,7,0.8,5.6,M,Y,흰색
말티즈,7,0.8,6.4,M,Y,흰색
말티즈,6,0.8,1.26,F,U,백색
말티즈,6,0.8,2,F,N,흰색
말티즈,6,0.8,2,M,N,흰색
말티즈,6,0.8,2,M,N,흰색
말티즈,6,0.8,2.3,M,Y,흰색
말티즈,6,0.8,2.6,M,Y,흰
말티즈,6,0.8,2.6,F,N,흰색
말티즈,6,0.8,2.8,F,Y,흰색
말티즈,6,0.8,2.8,F,U,흰색
말티즈,6,0.8,2.9,F,U,백색
말티즈,6,0.8,2.9,F,U,흰색
말티즈,6,0.8,3,F,U,흰색
말티즈,6,0.8,3,F,U,백
말티즈,6,0.8,3,M,Y,백
말티즈,6,0.8,3.2,F,U,흰
말티즈,6,0.8,3.4,M,Y,흰색
말티즈,6,0.8,3.4,M,N,백색
말티즈,6,0.8,3.5,F,U,백
말티즈,6,0.8,3.5,M,Y,흰색
말티즈,6,0.8,3.8,F,U,흰/갈
말티즈,6,0.8,4,M,Y,흰
말티즈,6,0.8,4,F,U,백
말티즈,6,0.8,4,M,N,백
말티즈,6,0.8,4.64,M,Y,백색
말티즈,6,0.8,4.7,M,Y,백색
말티즈,6,0.8,5,M,Y,흰색
말티즈,6,0.8,5,F,U,흰색
말티즈,6,0.8,5.2,F,U,흰
말티즈,6,0.8,5.3,M,Y,백색
말티즈,6,0.8,5.3,M,U,흰
말티즈,6,0.8,6,F,U,흰색
말티즈,6,0.8,6,M,Y,흰색
말티즈,6,0.8,6.7,M,Y,흰
말티즈,5,0.8,2,F,N,흰색
말티즈,5,0.8,2.3,M,Y,흰색
말티즈,5,0.8,2.8,M,N,흰색
말티즈,5,0.8,2.9,F,U,흰색
말티즈,5,0.8,2.9,F,N,흰
말티즈,5,0.8,3,F,U,흰색
말티즈,5,0.8,3,F,U,백색
말티즈,5,0.8,3,M,Y,흰색
말티즈,5,0.8,3,F,N,흰색
말티즈,5,0.8,3,M,Y,흰색
말티즈,5,0.8,3.06,M,Y,하양
말티즈,5,0.8,3.18,F,N,하양
말티즈,5,0.8,3.2,F,U,흰색
말티즈,5,0.8,3.4,M,N,흰/갈
말티즈,5,0.8,3.5,M,N,흰색
말티즈,5,0.8,3.8,M,N,흰색
말티즈,5,0.8,3.8,F,N,흰색
말티즈,5,0.8,3.8,F,U,백색
말티즈,5,0.8,3.86,M,N,백색
말티즈,5,0.8,4,F,U,백
말티즈,5,0.8,4,M,N,백
말티즈,5,0.8,4,M,U,백
말티즈,5,0.8,4,M,N,백
말티즈,5,0.8,4,M,Y,백
말티즈,5,0.8,4,M,Y,흰색
말티즈,5,0.8,4,F,U,흰색
말티즈,5,0.8,4.1,F,N,흰색
말티즈,5,0.8,4.56,M,Y,하양
말티즈,5,0.8,4.9,F,U,백색
말티즈,5,0.8,5,F,U,흰색
말티즈,5,0.8,5,M,Y,흰색
말티즈,5,0.8,5.5,F,U,흰색
말티즈,5,0.8,6.06,M,N,백색
말티즈,5,0.8,8,M,U,흰색
말티즈,4,0.8,1.9,F,Y,갈색
말티즈,4,0.8,2,F,U,백
말티즈,4,0.8,2.3,M,Y,흰색
말티즈,4,0.8,2.5,M,N,백
말티즈,4,0.8,2.6,M,N,흰색
말티즈,4,0.8,2.8,M,Y,흰색
말티즈,4,0.8,2.8,M,Y,흰색
말티즈,4,0.8,3,F,U,백
말티즈,4,0.8,3,M,N,흰색
말티즈,4,0.8,3,M,Y,백
말티즈,4,0.8,3.3,M,Y,흰
말티즈,4,0.8,3.3,F,U,흰
말티즈,4,0.8,3.4,F,N,흰색
말티즈,4,0.8,3.5,F,U,백
말티즈,4,0.8,3.5,F,U,백
말티즈,4,0.8,3.8,F,U,흰색
말티즈,4,0.8,3.9,M,N,백색
말티즈,4,0.8,4,M,Y,흰색
말티즈,4,0.8,4,M,N,흰색
말티즈,4,0.8,4,M,U,흰색
말티즈,4,0.8,4,M,N,백
말티즈,4,0.8,4.1,F,U,백색
말티즈,4,0.8,4.2,M,Y,흰
말티즈,4,0.8,4.6,M,Y,백색
말티즈,4,0.8,4.7,F,N,흰색
말티즈,4,0.8,4.7,M,N,흰색
말티즈,4,0.8,5.6,F,Y,흰색
말티즈,3,0.8,1.5,M,Y,흰색
말티즈,3,0.8,1.7,F,U,흰색
말티즈,3,0.8,2,F,U,흰
말티즈,3,0.8,2,F,N,흰색
말티즈,3,0.8,2,F,U,흰
말티즈,3,0.8,2.1,M,N,백색
말티즈,3,0.8,2.1,M,N,백색
말티즈,3,0.8,2.4,M,Y,흰색
말티즈,3,0.8,2.5,M,N,흰색
말티즈,3,0.8,2.5,F,U,"흰색,검정"
말티즈,3,0.8,2.7,M,Y,흰색
말티즈,3,0.8,2.8,F,U,흰
말티즈,3,0.8,2.9,F,U,흰색
말티즈,3,0.8,3,M,N,흰색
