크기(라벨링),나이,산책시간(시간),체중,성별
0,10,0.5,7.2,M
0,10,0.5,7.2,F
0,9,0.5,3.8,M
0,9,0.5,4,M
0,8,0.5,4.84,F
0,8,0.5,6,M
0,8,0.5,7,M
0,8,0.5,8.5,M
1,7,0.8,10,M
0,7,0.8,4,M
0,7,0.8,4.8,F
0,7,0.8,5,M
0,7,0.8,7.1,M
0,7,0.8,8.1,M
0,6,0.8,4.6,F
0,6,0.8,5,F
0,6,0.8,5,M
0,6,0.8,5.2,F
0,6,0.8,5.3,F
0,6,0.8,5.4,M
0,6,0.8,6.8,F
0,5,0.8,3,F
0,5,0.8,4,F
0,5,0.8,5,M
0,5,0.8,5.3,M
0,5,0.8,5.5,M
0,5,0.8,6,F
0,5,0.8,6.2,M
0,5,0.8,7.2,M
0,4,0.8,4,M
0,4,0.8,5.2,F
0,4,0.8,5.9,M
0,4,0.8,6,F
0,4,0.8,6.5,F
0,4,0.8,7,F
0,3,0.8,3.5,M
0,3,0.8,3.5,F
0,3,0.8,5,F
0,3,0.8,5.7,M
0,3,0.8,6,M
0,3,0.8,6,M
0,3,0.8,6,M
0,3,0.8,6.4,M
0,2,0.8,3.9,M
0,2,0.8,4,M
0,2,0.8,4.1,F
0,2,0.8,4.2,F
0,2,0.8,4.5,F
0,2,0.8,4.8,F
0,2,0.8,4.9,F
0,2,0.8,4.9,F
0,2,0.8,5,M
0,2,0.8,5.2,M
0,2,0.8,6,F
0,2,0.8,6,F
0,2,0.8,6,M
0,2,0.8,6,F
0,1,0.8,4,F
0,1,0.8,4.6,M
0,1,0.8,5,F
0,1,0.8,6,F
0,0,0.5,3,M
0,0,0.5,4,F
0,0,0.5,4.2,F
0,0,0.5,5,F
0,0,0.5,5.5,F
2,3,1,30,M
2,1,1,27,M
0,1,1,7,M
2,1,1.5,28,M
2,8,0.5,22,F
1,7,1,18.5,M
2,4,1,20,M
2,3,1,21,M
2,3,1,25,F
1,3,1,15,M
1,3,1,16,M
0,1,1,8,M
1,0,0.8,14.55,F
2,4,1,22.3,M
2,2,1,55,M
2,8,0.5,30,M
2,3,1,25,F
1,1,1,18,F
0,18,0.5,1.8,F
0,15,0.5,3,F
0,13,0.5,2.8,M
0,12,0.5,3.4,F
0,11,0.5,1.5,F
0,11,0.5,4,M
0,11,0.5,4.4,F
0,10,0.5,1.7,F
0,10,0.5,2.5,M
0,10,0.5,2.5,M
0,10,0.5,3,M
0,10,0.5,3.1,F
0,10,0.5,3.3,F
0,10,0.5,4,F
0,10,0.5,4.3,M
0,10,0.5,4.8,F
0,9,0.5,3,F
0,9,0.5,3.5,M
0,9,0.5,4.6,M
0,9,0.5,4.8,M
0,8,0.5,3.8,M
0,8,0.5,4.3,F
0,8,0.5,5,M
0,8,0.5,5.2,M
0,8,0.5,5.4,F
0,8,0.5,6.2,M
0,7,1,3,F
0,7,1,3.3,M
0,6,1,2,F
0,6,1,2.5,F
